,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
234,1929,Rainer Maria Rilke,['Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Γερμανόφωνη Λογοτεχνία (2011)'],"['Poetry', 'Nonfiction', 'Classics']",https://www.goodreads.com/book/show/46199.Letters_to_a_Young_Poet,80,52382,4.31,4018,Letters to a Young Poet,0
235,1934,Robert Graves,"['James Tait Black Memorial Prize for Fiction (1934)', 'Hawthornden Prize (1935)', 'Audie Award for Audio Drama (2012)']","['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/18765.I_Claudius,468,58583,4.21,2644,"I, Claudius",1
236,1998,Louis Sachar,"['Newbery Medal (1999)', ""National Book Award for Young People's Literature (1998)"", ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2001)"", 'Grand Canyon Reader Award for Teen Book (2001)', 'Nene Award (2001)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (2001)', ""Massachusetts Children's Book Award (2001)"", ""Flicker Tale Children's Book Award (2000)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2000)"", ""Dorothy Canfield Fisher Children's Book Award (2000)"", 'Evergreen Teen Book Award (2001)', 'Soaring Eagle Book Award (2003)', 'Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2002)', ""Pacific Northwest Library Association Young Reader's Choice Award for Junior (2001)"", 'Zilveren Zoen (2000)', 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2001)', 'Boston Globe-Horn Book Award for Fiction (1999)', 'New Mexico Land of Enchantment Award for Young Adult (2001)', ""William Allen White Children's Book Award (2001)"", 'Oklahoma Sequoyah Award for Children and YA (2001)', ""Rebecca Caudill Young Readers' Book Award (2002)"", 'Premi Protagonista Jove for Categoria 14-15 anys (2000)']","['Young Adult', 'Fiction', 'Childrens']",https://www.goodreads.com/book/show/10920.Cold_Mountain,233,991282,3.97,20822,Holes,1
237,1997,Charles Frazier,"['National Book Award for Fiction (1997)', 'American Booksellers Book Of The Year  Award for Adult Trade (1998)', 'Exclusive Books Boeke Prize (1998)', 'Sue Kaufman Prize for First Fiction (1998)', 'Chicago Tribune Heartland Prize for Fiction (1997)', 'National Book Critics Circle Award Nominee for Fiction (1997)', 'Weatherford Award (1997)', 'Lillian Smith Book Award (1997)', 'Thomas Wolfe Memorial Literary Award (1997)']","['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/38709.Holes,356,223982,3.87,5787,Cold Mountain,0
238,1950,Isaac Asimov,,"['Science Fiction', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/14497.Neverwhere,224,281702,4.20,6906,"I, Robot",1
239,1996,Neil Gaiman,"['Mythopoeic Fantasy Award Nominee for Adult Literature (1998)', 'Prix Julia Verlanger (1999)']","['Fantasy', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/41804.I_Robot,370,439632,4.16,23060,Neverwhere,1
240,1998,Michael Cunningham,"['Pulitzer Prize for Fiction (1999)', 'Stonewall Book Award for Literature (1999)', 'PEN/Faulkner Award for Fiction (1999)', 'Ferro-Grumley Award for Gay Fiction (1999)', 'National Book Critics Circle Award Nominee for Fiction (1998)', 'Premio Grinzane Cavour for Narrativa Straniera (2000)', 'International Dublin Literary Award Nominee for Shortlist (2000)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/6319.The_BFG,230,126263,3.94,5142,The Hours,0
241,1982,Roald Dahl,"['Zilveren Griffel (1984)', 'Books I Loved Best Yearly (BILBY) Awards for Read Aloud, Read Alone (1991)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1985)"", ""Red House Children's Book Award (1983)"", 'Deutscher Jugendliteraturpreis for Kinderbuch (1985)']","['Fantasy', 'Childrens', 'Fiction']",https://www.goodreads.com/book/show/11899.The_Hours,199,386024,4.22,10380,The BFG,0
242,1945,Tennessee Williams,"[""New York Drama Critics' Circle Award for Best American Play (1945)""]","['Plays', 'Classics', 'Drama']",https://www.goodreads.com/book/show/92517.The_Glass_Menagerie,104,113249,3.71,2582,The Glass Menagerie,0
243,1960,Scott O'Dell,"['Newbery Medal (1961)', 'Lewis Carroll Shelf Award (1961)', 'Nene Award (1964)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1962)"", 'Deutscher Jugendliteraturpreis for Jugendbuch (1963)', ""William Allen White Children's Book Award (1963)""]","['Young Adult', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/233818.Island_of_the_Blue_Dolphins,184,298225,3.84,8475,Island of the Blue Dolphins,1
